"Nombre_PA";"Page";"IDNum";"numero_esclave";"code_ppv";"code_id";"agence";"superviseur";"activites";"secteur";"commune";"syndicat";"categorie";"nom_site";"an_service";"code_station";"pages_annexes";"energie";"support";"num_appel";"num_secours";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"adresse_ip";"intersite";"site_lie";"rmqintersite";"digicode";"divers"
0;"B0";2256;1;"6344";;"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"Eau potable";"SUD-RHONE";"MONTAGNY";"SIDESOL";"Pompage";"POMPAGE_BRASSERONDE (LE GARON) - MONTAGNY";0;"B0";"A0";"EDF";"IP";;;"Sofrel";"S50";;;;"10.81.1.5";;;;;
0;"B1";2257;1;"17366";;"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"Eau potable";"SUD-RHONE";"VOURLES";"SIDESOL";"Station de traitement";"USINE_PETIT FELIN - VOURLES";0;"B1";"A0";"EDF";"IP";;;"Sofrel";"S500";;;;"10.81.1.5";;;;;
0;"B2";2258;1;"17280";"";"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"Eau potable";"SUD-RHONE";"VOURLES";"SIDESOL";"Station de traitement";"USINE_PUITS N°2 - VOURLES";0;"B2";"A0";"EDF";"IP";"";"";"Sofrel";"S500";"";"";"";"10.81.1.5";;;"";"";""
0;"B3";1372;71;"5643";"0-3";"Nord-Rhône";"EP Nord-Rhône / Ain";"Eau potable";"Anse";"BLACÉ";"CENTRE BEAUJOLAIS";"Pompage réservoir";"SR BLACE - BLACE";0;"B3";"";"EDF";"RTC";"04 74 67 58 79";"";"Sofrel";"S500";"3.30";"";"";"";;;"";"";""
0;"B3";2259;1;"17281";;"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"Eau potable";"SUD-RHONE";"VOURLES";"SIDESOL";"Station de traitement";"USINE_PUITS N°3 - VOURLES";0;"B3";"A0";"EDF";"IP";;;"Sofrel";"S500";;;;"10.81.1.5";;;;;
0;"B4";1389;210;"5668";"0-3";"Nord-Rhône";"EP Nord-Rhône / Ain";"Eau potable";"Anse";"SALLES-ARBUISSONNAS-EN-BEAUJOLAIS";"CENTRE BEAUJOLAIS";"Captage";"RES LA PERREUSE - SALLE ARBUISSONAS";0;"B4";"";"EDF";"RTC";"04 74 68 38 56";"";"Sofrel";"S500";"3.10";"";"M3-P3";"";;;"";;
0;"B4";2260;1;"17282";;"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"Eau potable";"SUD-RHONE";"VOURLES";"SIDESOL";"Station de traitement";"USINE_PUITS N°4 - VOURLES";0;"B4";"A0";"EDF";"IP";;;"Sofrel";"S500";;;;"10.81.1.5";;;;;
0;"B5";1373;59;"5647";"0-3";"Nord-Rhône";"EP Nord-Rhône / Ain";"Eau potable";"Anse";"VAUX-EN-BEAUJOLAIS";"CENTRE BEAUJOLAIS";"Pompage réservoir";"SR ECOLE - VAUX EN BEAUJOLAIS";0;"B5";"";"EDF";"RTC";"04 74 67 58 79";"";"Sofrel";"S500";"3.30";"";"M3-P3";"";;;"Vaux sottizon @72";;
0;"B5";2262;1;"17283";"";"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"Eau potable";"SUD-RHONE";"BRIGNAIS";"SIDESOL";"Station de traitement";"USINE_PUITS N°5 - BRIGNAIS";0;"B5";"A0";"EDF";"IP";"";"";"Sofrel";"S500";"";"";"";"10.81.1.5";;;"";"";""
0;"B6";2263;1;"17283";;"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"Eau potable";"SUD-RHONE";"BRIGNAIS";"SIDESOL";"Station de traitement";"USINE_PUITS N°5 - Chloration- BRIGNAIS";0;"B6";;"EDF";"IP";;;"Sofrel";"S500";;;;"10.81.1.5";;;;;
